clip_name,clip_stem,behavior_class,target_seat_id,scenario_id,window_index,window_start_frame,window_end_frame,window_start_sec,window_end_sec,mid_frame_idx,mid_time_sec,selected_person_idx,seat_mapped_person_idx_mid,selected_matches_mid_mapping,selected_visible_midframe,num_detected_midframe,window_label_7,window_label_binary,active_overlap,active_start_sec,active_end_sec,segment_source,manual_key,video_path,image_path,review_status,target_correct,notes
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,0,0,74,0,2.961540001,37,1.48077,0,0,TRUE,TRUE,8,normal,normal,0,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_000_midframe_0037.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,1,24,98,0.96049946,3.922039461,61,2.44126946,0,0,TRUE,TRUE,8,normal,normal,0,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_001_midframe_0061.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,2,48,122,1.920998919,4.88253892,85,3.40176892,0,0,TRUE,TRUE,8,normal,normal,0.297297297,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_002_midframe_0085.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,3,72,146,2.881498379,5.84303838,109,4.36226838,0,0,TRUE,TRUE,8,passing_note,suspicious,0.621621622,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_003_midframe_0109.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,4,96,170,3.841997839,6.80353784,133,5.322767839,0,0,TRUE,TRUE,8,passing_note,suspicious,0.945945946,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_004_midframe_0133.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,5,120,194,4.802497299,7.764037299,157,6.283267299,0,0,TRUE,TRUE,8,passing_note,suspicious,1,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_005_midframe_0157.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,6,144,218,5.762996758,8.724536759,181,7.243766759,0,0,TRUE,TRUE,8,passing_note,suspicious,0.756756757,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_006_midframe_0181.jpg,correct,,
PN01_passing_note_take01.mp4,PN01_passing_note_take01,passing_note,A1,PN01,7,168,242,6.723496218,9.685036219,205,8.204266218,0,0,TRUE,TRUE,8,normal,normal,0.432432432,4.002081082,8.004162164,manual_clip,PN01_passing_note_take01,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take01.mp4,images/PN01_passing_note_take01/win_007_midframe_0205.jpg,correct,,
PN01_passing_note_take02.mp4,PN01_passing_note_take02,passing_note,A2,PN01,0,0,74,0,2.961540001,37,1.48077,2,2,TRUE,TRUE,8,normal,normal,0,4.002081082,8.004162164,manual_clip,PN01_passing_note_take02,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take02.mp4,images/PN01_passing_note_take02/win_000_midframe_0037.jpg,correct,,
PN01_passing_note_take02.mp4,PN01_passing_note_take02,passing_note,A2,PN01,1,24,98,0.96049946,3.922039461,61,2.44126946,2,2,TRUE,TRUE,8,normal,normal,0,4.002081082,8.004162164,manual_clip,PN01_passing_note_take02,/home/sagemaker-user/exam_proctoring_dataset/02_clips/passing_note/PN01_passing_note_take02.mp4,images/PN01_passing_note_take02/win_001_midframe_0061.jpg,correct,,
