event_idx,start_time,end_time,start_sec,end_sec,duration_sec,target_seat,gt_class,merged_class,pose_detectable,in_coverage,detected,flagged,class_correct,class_note,latency_sec,n_sus_predictions,n_total_predictions
102,00:07,00:10,7,10,3,A2,leaning_to_neighbor,lateral_movement,True,True,True,False,True,,3.0,5,55
103,00:09,00:12,9,12,3,B2,looking_sideways,head_turn,True,True,True,True,True,,1.0,7,55
104,00:12,00:16,12,16,4,B3,talking_to_neighbor,head_turn,True,True,True,True,True,,0.0,16,62
105,00:17,00:20,17,20,3,B1,looking_sideways,head_turn,True,True,True,True,True,,0.0,17,56
106,00:20,00:23,20,23,3,A1,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,18,55
107,00:23,00:28,23,28,5,B2,passing_note,lateral_movement,True,True,True,True,True,,0.0,15,69
108,00:25,00:28,25,28,3,A3,looking_sideways,head_turn,True,True,True,True,True,,0.0,11,55
111,00:39,00:43,39,43,4,B2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,8,61
112,00:39,00:43,39,43,4,B4,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,8,61
113,00:44,00:46,44,46,2,B3,looking_sideways,head_turn,True,True,True,True,True,,0.0,10,48
115,00:46,00:49,46,49,3,B3,looking_sideways,head_turn,True,True,True,True,True,,0.0,15,56
116,00:49,00:52,49,52,3,A1,looking_sideways,head_turn,True,True,True,True,True,,0.0,15,56
117,00:54,00:57,54,57,3,B3,passing_note,lateral_movement,True,True,True,True,True,,0.0,9,56
118,00:57,01:01,57,61,4,A2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,9,62
119,01:02,01:05,62,65,3,B2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,13,55
121,01:07,01:10,67,70,3,B1,talking_to_neighbor,head_turn,True,True,True,True,True,,0.0,12,56
122,01:11,01:14,71,74,3,A1,talking_to_neighbor,head_turn,True,True,True,True,True,,0.0,11,56
123,01:13,01:15,73,75,2,B3,looking_sideways,head_turn,True,True,True,True,False,,0.0,10,49
124,01:18,01:22,78,82,4,B3,passing_note,lateral_movement,True,True,True,True,True,,0.0,23,63
125,01:18,01:25,78,85,7,A3,passing_note,lateral_movement,True,True,True,True,True,,0.0,26,84
