event_idx,start_time,end_time,start_sec,end_sec,duration_sec,target_seat,gt_class,merged_class,pose_detectable,in_coverage,detected,flagged,class_correct,class_note,latency_sec,n_sus_predictions,n_total_predictions
46,00:11,00:15,11,15,4,B1,talking_to_neighbor,head_turn,True,True,True,True,True,,0.0,10,54
47,00:14,00:20,14,20,6,A2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,23,66
48,00:20,00:26,20,26,6,A1,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,19,66
49,00:26,00:32,26,32,6,B2,passing_note,lateral_movement,True,True,True,True,True,,0.0,10,66
54,00:45,00:47,45,47,2,B2,looking_sideways,head_turn,True,True,True,True,True,,0.0,4,42
56,00:50,00:54,50,54,4,A3,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,19,54
57,00:53,00:58,53,58,5,B1,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,26,59
58,00:56,00:58,56,58,2,B3,looking_sideways,head_turn,True,True,True,True,True,,0.0,20,41
59,00:59,01:03,59,63,4,A1,looking_sideways,head_turn,True,True,True,True,True,,0.0,21,53
60,01:12,01:18,72,78,6,B2,passing_note,lateral_movement,True,True,True,True,True,,1.0,21,60
