event_idx,start_time,end_time,start_sec,end_sec,duration_sec,target_seat,gt_class,merged_class,pose_detectable,in_coverage,detected,flagged,class_correct,class_note,latency_sec,n_sus_predictions,n_total_predictions
32,00:08,00:14,8,14,6,A2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0,14,66
33,00:12,00:16,12,16,4,B2,looking_sideways,head_turn,True,True,True,True,True,,0,8,54
34,00:19,00:26,19,26,7,A1,passing_note,lateral_movement,True,True,True,True,True,,0,20,70
35,00:30,00:34,30,34,4,B3,passing_note,lateral_movement,True,True,True,True,True,,0,10,54
36,00:34,00:40,34,40,6,A1,talking_to_neighbor,head_turn,True,True,True,True,True,,0,21,66
37,00:40,00:50,40,50,10,B2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0,39,90
38,00:54,00:59,54,59,5,A2,talking_to_neighbor,head_turn,True,True,True,True,True,,0,27,59
40,00:58,01:01,58,61,3,A1,looking_sideways,head_turn,True,True,True,True,True,,0,21,47
43,01:15,01:21,75,81,6,B2,looking_sideways,head_turn,True,True,True,True,True,,0,40,66
44,01:22,01:27,82,87,5,B3,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0,30,60
