event_idx,start_time,end_time,start_sec,end_sec,duration_sec,target_seat,gt_class,merged_class,pose_detectable,in_coverage,detected,flagged,class_correct,class_note,latency_sec,n_sus_predictions,n_total_predictions
126,00:07,00:15,7,15,8,A1,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,29,88
127,00:10,00:14,10,14,4,A3,talking_to_neighbor,head_turn,True,True,True,True,True,,0.0,22,60
128,00:14,00:17,14,17,3,B3,passing_note,lateral_movement,True,True,True,True,True,,0.0,22,53
129,00:17,00:21,17,21,4,B1,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,23,62
130,00:21,00:24,21,24,3,A2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,10,56
131,00:24,00:29,24,29,5,B3,looking_sideways,head_turn,True,True,True,True,True,,0.0,17,70
132,00:26,00:29,26,29,3,B2,looking_sideways,head_turn,True,True,True,True,True,,0.0,14,56
137,00:42,00:45,42,45,3,B1,passing_note,lateral_movement,True,True,True,True,False,,0.0,16,56
138,00:47,00:52,47,52,5,A4,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,4.0,1,70
139,00:51,00:58,51,58,7,A1,looking_sideways,head_turn,True,True,True,False,False,,0.0,1,84
141,01:00,01:05,60,65,5,A3,leaning_to_neighbor,lateral_movement,True,True,True,False,False,,2.0,3,70
142,01:05,01:10,65,70,5,B1,talking_to_neighbor,head_turn,True,True,True,False,True,,0.0,13,70
