time_sec,frame,track_id,label,prob,is_flagged,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3.0,90,1,normal,1.0,False,112,666,555,1071
3.0,90,2,normal,1.0,False,585,539,849,786
3.0,90,3,normal,1.0,False,769,630,1125,1019
3.0,90,4,normal,1.0,False,1034,530,1297,777
3.0,90,5,normal,1.0,False,1348,637,1739,1056
4.0,120,1,normal,1.0,False,122,666,555,1071
4.0,120,2,normal,0.997,False,583,539,850,786
4.0,120,3,normal,1.0,False,768,630,1125,1018
4.0,120,4,normal,1.0,False,1034,530,1297,777
4.0,120,5,normal,1.0,False,1347,637,1739,1059
5.0,150,1,normal,1.0,False,124,667,555,1071
5.0,150,2,normal,0.992,False,590,539,850,784
5.0,150,3,normal,1.0,False,764,619,1122,1019
5.0,150,4,normal,1.0,False,1036,531,1298,779
5.0,150,5,normal,1.0,False,1348,637,1739,1057
6.0,180,1,normal,1.0,False,120,666,555,1072
6.0,180,2,normal,0.994,False,588,539,849,784
6.0,180,3,normal,1.0,False,765,617,1122,1014
6.0,180,4,normal,1.0,False,1036,530,1298,779
6.0,180,5,normal,1.0,False,1348,636,1739,1053
7.0,210,1,normal,1.0,False,108,667,555,1071
7.0,210,2,normal,0.971,False,590,539,849,784
7.0,210,3,normal,1.0,False,763,619,1122,1041
7.0,210,4,normal,1.0,False,1039,530,1298,777
7.0,210,5,normal,1.0,False,1348,636,1739,1056
8.0,240,1,normal,1.0,False,119,667,555,1071
8.0,240,2,normal,0.999,False,591,539,849,784
8.0,240,3,normal,1.0,False,767,620,1122,1036
8.0,240,4,normal,1.0,False,1039,530,1296,775
8.0,240,5,normal,0.999,False,1347,636,1739,1059
9.0,270,1,normal,1.0,False,131,665,555,1071
9.0,270,2,normal,0.995,False,587,539,859,784
9.0,270,3,normal,1.0,False,762,620,1123,1038
9.0,270,4,normal,1.0,False,1039,530,1297,776
9.0,270,5,normal,1.0,False,1347,636,1739,1059
10.0,300,1,normal,1.0,False,126,665,555,1071
10.0,300,2,head_turn,0.982,False,584,540,856,784
10.0,300,3,normal,1.0,False,762,620,1123,1017
10.0,300,4,normal,1.0,False,1039,529,1299,777
10.0,300,5,normal,1.0,False,1347,637,1738,1060
11.0,330,1,normal,1.0,False,121,665,555,1071
11.0,330,2,head_turn,0.965,False,584,540,854,785
11.0,330,3,normal,1.0,False,762,622,1123,1018
11.0,330,4,normal,1.0,False,1039,530,1297,777
11.0,330,5,normal,1.0,False,1348,636,1738,1058
12.0,360,1,normal,1.0,False,129,665,555,1071
12.0,360,2,head_turn,0.992,False,582,540,855,783
12.0,360,3,normal,1.0,False,762,621,1123,1017
12.0,360,4,normal,1.0,False,1039,530,1297,777
12.0,360,5,normal,1.0,False,1348,636,1739,1058
13.0,390,1,normal,1.0,False,118,665,555,1071
13.0,390,2,head_turn,0.986,True,589,539,853,786
13.0,390,3,normal,1.0,False,762,621,1123,1018
13.0,390,4,normal,1.0,False,1040,530,1297,777
13.0,390,5,normal,1.0,False,1347,636,1739,1051
14.0,420,1,normal,1.0,False,125,665,555,1071
14.0,420,2,normal,0.859,True,589,539,854,786
14.0,420,3,normal,1.0,False,762,621,1123,1019
14.0,420,4,normal,1.0,False,1039,530,1299,781
14.0,420,5,normal,1.0,False,1348,636,1739,1054
15.0,450,1,normal,1.0,False,131,666,555,1071
15.0,450,2,normal,0.994,True,586,539,853,786
15.0,450,3,normal,1.0,False,761,622,1124,1018
