time_sec,frame,track_id,label,prob,is_flagged,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3.0,90,1,normal,0.998,False,51,633,404,1079
3.0,90,2,normal,0.969,False,443,564,710,783
3.0,90,3,normal,1.0,False,612,716,880,981
3.0,90,4,normal,0.986,False,883,563,1134,842
3.0,90,5,normal,0.998,False,1140,636,1432,1068
3.0,90,6,normal,0.998,False,1339,577,1565,789
3.0,90,7,lateral_movement,0.993,False,1652,649,1919,1075
4.0,120,1,normal,0.953,False,51,634,405,1079
4.0,120,2,normal,0.999,False,443,564,712,784
4.0,120,3,normal,0.998,False,611,720,878,978
4.0,120,4,normal,0.999,False,883,563,1135,837
4.0,120,5,head_turn,0.682,False,1138,643,1435,1070
4.0,120,6,normal,0.83,False,1342,579,1566,796
4.0,120,7,lateral_movement,0.533,False,1652,650,1919,1075
5.0,150,1,normal,0.991,False,47,634,404,1079
5.0,150,2,normal,1.0,False,443,564,714,783
5.0,150,3,normal,0.999,False,619,722,878,977
5.0,150,4,normal,1.0,False,884,563,1135,823
5.0,150,5,normal,0.988,False,1138,644,1442,1069
5.0,150,6,normal,1.0,False,1334,578,1566,790
5.0,150,7,lateral_movement,0.987,False,1652,649,1919,1075
6.0,180,1,normal,0.999,False,47,635,404,1078
6.0,180,2,normal,1.0,False,442,564,713,785
6.0,180,3,normal,1.0,False,608,722,878,982
6.0,180,4,normal,1.0,False,882,563,1135,832
6.0,180,5,normal,1.0,False,1137,643,1431,1045
6.0,180,6,normal,1.0,False,1334,577,1566,790
6.0,180,7,normal,0.998,False,1652,649,1919,1075
7.0,210,1,normal,0.995,False,54,635,405,1079
7.0,210,2,normal,0.999,False,443,564,713,785
7.0,210,3,normal,1.0,False,615,720,879,979
7.0,210,4,normal,1.0,False,886,564,1133,818
7.0,210,5,normal,0.994,False,1138,643,1433,1073
7.0,210,6,normal,1.0,False,1333,578,1566,790
7.0,210,7,lateral_movement,0.992,True,1650,649,1919,1074
8.0,240,1,normal,0.974,False,49,634,405,1079
8.0,240,2,normal,0.996,False,442,564,716,784
8.0,240,3,normal,1.0,False,608,723,878,982
8.0,240,4,normal,1.0,False,886,564,1133,818
8.0,240,5,normal,0.905,False,1137,643,1431,1073
8.0,240,6,normal,1.0,False,1337,577,1566,787
8.0,240,7,lateral_movement,0.998,True,1650,648,1919,1075
9.0,270,1,lateral_movement,0.748,False,80,619,443,1074
9.0,270,2,normal,0.818,False,450,564,716,781
9.0,270,3,normal,0.983,False,612,724,877,980
9.0,270,4,normal,1.0,False,886,564,1133,811
9.0,270,5,head_turn,0.507,False,1137,643,1428,1074
9.0,270,6,normal,0.997,False,1334,577,1565,790
9.0,270,7,lateral_movement,0.998,True,1650,648,1919,1075
10.0,300,1,normal,0.993,False,32,629,450,1073
10.0,300,2,normal,0.999,False,450,564,716,779
10.0,300,3,normal,0.996,False,606,728,878,983
10.0,300,4,normal,0.994,False,886,564,1133,811
10.0,300,5,head_turn,0.747,False,1137,643,1437,1073
10.0,300,6,normal,0.999,False,1337,577,1566,788
10.0,300,7,lateral_movement,0.948,True,1651,649,1919,1073
